id,release_year,runtime,genres,seasons,imdb_score,imdb_votes
ts20529,2006,14,"['animation', 'comedy', 'music']",5,8.3,17274
ts21484,2005,11,"['comedy', 'drama', 'animation']",4,8.0,6728
ts3707,2006,54,['drama'],5,7.7,22345
ts26499,2008,45,"['reality', 'comedy', 'family']",7,6.6,7950
ts22050,2002,46,"['action', 'drama', 'crime', 'thriller']",7,6.8,8
ts22181,2007,12,"['comedy', 'music']",5,7.6,11709
ts13416,2007,58,"['drama', 'crime', 'thriller']",2,6.6,2956
ts25803,2008,19,"['comedy', 'animation']",3,8.3,6632
ts9653,2005,31,"['comedy', 'drama']",2,8.0,7364
ts16822,2002,19,"['animation', 'action', 'comedy', 'family', 'scifi']",6,7.2,21144
ts1936,2003,60,"['drama', 'scifi', 'fantasy', 'romance']",1,8.2,27479
ts27405,2008,28,"['scifi', 'action', 'animation', 'drama']",1,8.6,3322
ts22473,2010,62,"['drama', 'music']",4,8.3,15188
ts22311,2007,49,"['scifi', 'drama', 'fantasy']",1,7.0,4915
ts20381,2002,21,"['animation', 'action', 'thriller', 'comedy', 'family']",3,7.3,10301
ts22480,2001,19,"['comedy', 'animation', 'horror', 'family', 'fantasy']",7,7.7,24600
ts20445,2008,26,['drama'],4,8.3,17668
ts10978,2005,23,"['comedy', 'scifi', 'action', 'family', 'animation']",4,7.4,22212
ts13511,2008,23,"['action', 'fantasy', 'scifi', 'animation', 'crime', 'family']",3,7.3,9469
ts9926,2010,12,['comedy'],4,8.6,6624
ts31788,2004,12,"['comedy', 'war', 'scifi', 'drama', 'action', 'animation', 'fantasy', 'thriller']",13,6.7,7337
ts30164,2010,72,['documentation'],1,7.6,553
ts5042,2004,24,"['scifi', 'animation', 'comedy', 'family', 'fantasy']",6,7.6,23179
ts21652,2001,37,"['documentation', 'reality']",4,7.2,914
ts21184,2006,10,"['animation', 'comedy', 'scifi']",2,8.2,7456
ts34517,2008,12,"['action', 'comedy', 'animation', 'crime', 'fantasy']",4,7.7,7500
ts33361,2007,11,"['animation', 'comedy']",2,7.8,4489
ts18292,2005,11,"['comedy', 'action', 'fantasy', 'thriller', 'animation']",3,6.5,2331
ts25656,2008,20,"['scifi', 'comedy', 'horror', 'animation', 'family', 'fantasy']",3,7.8,14811
ts22273,2004,11,"['comedy', 'animation']",2,6.7,3657
ts21140,2009,29,"['comedy', 'drama']",3,7.2,22433
ts21320,2009,43,"['comedy', 'drama']",2,8.0,4385
ts25944,2009,66,"['drama', 'crime', 'comedy', 'family']",1,8.2,3633
ts33574,2007,44,"['drama', 'comedy', 'family', 'romance']",1,7.3,4000
ts34731,2007,27,"['scifi', 'action', 'drama', 'family', 'fantasy']",5,7.4,6325
ts21517,2010,26,['comedy'],3,6.1,10
ts13696,2007,18,"['animation', 'comedy', 'family', 'fantasy']",4,6.0,5
ts21526,2010,28,"['drama', 'comedy']",2,7.9,15883
ts11276,2010,23,"['scifi', 'family', 'animation', 'action']",3,7.7,8992
ts17616,2008,61,['drama'],3,8.2,638
ts14603,2005,86,"['drama', 'scifi', 'comedy', 'thriller', 'action', 'fantasy']",1,4.5,2847
ts10979,2008,23,"['scifi', 'action', 'animation', 'comedy', 'drama', 'family']",3,7.3,11540
ts7916,2004,47,"['drama', 'crime', 'horror', 'thriller']",2,7.9,1264
ts1136,2008,20,['comedy'],3,7.4,2498
ts32276,2005,12,"['comedy', 'animation', 'horror']",1,7.7,1720
ts1494,2009,53,['documentation'],1,7.9,112
ts46320,2001,43,['sport'],5,5.3,27
ts16708,2005,25,[],1,0.0,0
ts10152,2008,29,['comedy'],1,6.7,131
ts71362,2006,29,"['comedy', 'documentation']",1,5.3,521
ts82045,2001,27,"['documentation', 'animation', 'reality']",1,8.9,96
ts68187,2009,31,['documentation'],1,6.0,58
ts6936,2004,21,['animation'],4,8.6,46
ts16942,2006,50,['drama'],2,8.0,144
ts2,2011,58,"['scifi', 'drama', 'action', 'romance', 'fantasy']",8,9.2,2134702
ts20618,2011,24,"['comedy', 'reality']",10,8.6,41895
ts21078,2012,57,['drama'],3,8.6,118056
ts20425,2012,29,['comedy'],7,8.4,57898
