id,release_year,runtime,genres,seasons,imdb_score,imdb_votes
ts18551,2012,27,"['comedy', 'drama', 'european']",5,5.9,20
ts22249,2012,24,"['comedy', 'animation', 'sport']",3,8.3,9610
ts6879,2012,43,['drama'],2,8.5,831
ts128422,2012,16,['drama'],3,6.6,305
ts158608,2012,45,['reality'],5,7.9,43
ts21081,2012,44,"['drama', 'crime', 'history', 'thriller']",1,8.4,5325
ts32460,2011,43,"['comedy', 'drama', 'family']",1,6.9,117
ts55532,2012,16,"['animation', 'european']",6,8.2,23
ts27586,2012,24,"['action', 'scifi', 'comedy', 'fantasy', 'animation']",3,7.8,4294
ts44064,2011,46,"['comedy', 'drama', 'romance']",1,6.5,114
ts19779,2012,7,"['animation', 'comedy', 'family']",7,7.4,2139
ts167724,2012,25,['comedy'],3,7.6,94
ts35426,2011,3,"['animation', 'european']",3,5.0,37
ts45996,2012,44,"['reality', 'documentation']",9,7.4,264
ts27875,2012,6,"['animation', 'family']",2,6.3,100
ts191698,2011,6,"['music', 'animation', 'family']",4,6.4,108
ts69208,2012,45,['drama'],1,7.4,132
ts33349,2011,14,"['animation', 'comedy', 'family', 'fantasy']",4,6.0,134
ts39112,2011,16,"['action', 'animation', 'comedy', 'family', 'fantasy']",3,5.9,16
ts81858,2011,2,"['comedy', 'family', 'animation', 'thriller', 'drama', 'horror']",5,7.1,696
ts26776,2012,22,"['action', 'scifi', 'family', 'fantasy', 'animation', 'comedy']",2,6.2,433
ts58528,2011,43,['reality'],8,7.2,47
ts37864,2011,47,"['drama', 'history', 'romance']",1,6.9,174
ts60663,2011,44,"['family', 'drama']",1,0.0,0
ts16586,2011,43,"['action', 'crime', 'drama']",3,8.6,1425
ts39465,2012,44,"['drama', 'romance', 'comedy']",1,6.7,17
ts41114,2011,44,['drama'],1,7.9,10
ts99814,2011,14,"['animation', 'comedy']",1,8.2,722
ts11188,2014,42,"['scifi', 'drama', 'action']",9,7.5,351348
ts1639,2013,43,"['drama', 'crime', 'thriller']",10,8.0,255144
ts20682,2013,23,"['horror', 'animation', 'action', 'drama', 'fantasy', 'scifi']",4,9.0,325381
ts20837,2014,60,"['drama', 'scifi', 'fantasy', 'romance']",6,8.4,163090
ts20110,2013,58,"['drama', 'crime', 'european']",6,8.8,567949
ts20351,2014,65,"['reality', 'romance', 'european']",16,6.2,2246
ts8146,2014,42,"['drama', 'action', 'scifi']",7,7.6,257437
ts16045,2014,42,"['reality', 'romance']",9,6.6,2690
ts14583,2014,26,"['comedy', 'drama', 'animation']",6,8.8,164213
ts6,2013,52,['drama'],6,8.7,510308
ts21374,2014,43,"['drama', 'thriller', 'crime']",6,8.1,155357
ts20824,2013,43,"['scifi', 'drama', 'fantasy', 'horror']",5,8.3,139044
ts20823,2013,59,"['comedy', 'drama', 'crime']",7,8.1,306873
ts20280,2014,55,"['action', 'drama', 'history']",2,8.0,74391
ts21367,2014,42,"['drama', 'comedy']",5,7.8,46286
ts20261,2014,43,"['war', 'thriller', 'drama']",6,7.7,24007
ts20108,2014,24,"['comedy', 'action', 'scifi', 'drama', 'family']",5,5.8,6083
