platform,id,release_year,runtime,genres,seasons,imdb_score,imdb_votes
Paramount,ts34709,2015,40,['comedy'],9,5.7,10454
Paramount,ts55961,2016,23,"['scifi', 'thriller', 'action', 'drama', 'horror']",2,6.1,2912
Paramount,ts21586,2015,21,['comedy'],3,6.3,9208
Paramount,ts37220,2015,21,"['animation', 'comedy', 'action', 'scifi', 'thriller']",1,6.9,2249
Paramount,ts89128,2015,21,['comedy'],4,8.0,462
Paramount,ts42220,2016,32,['comedy'],3,7.2,649
Paramount,ts53445,2016,23,['reality'],3,6.4,61
Paramount,ts42361,2015,49,['documentation'],1,8.6,1437
Paramount,ts38755,2016,22,"['comedy', 'scifi']",1,6.7,1615
Paramount,ts36461,2016,21,"['drama', 'comedy', 'fantasy']",1,6.2,2680
Paramount,ts42639,2016,45,"['documentation', 'war']",3,7.6,163
Paramount,ts38447,2015,16,"['animation', 'drama', 'comedy', 'family', 'music']",5,4.5,1481
Paramount,ts37995,2015,23,"['comedy', 'family']",3,4.3,2802
Paramount,ts37872,2015,46,['documentation'],1,8.3,39
Paramount,ts35273,2015,22,"['comedy', 'drama']",2,4.9,593
Paramount,ts37889,2015,24,"['scifi', 'drama', 'fantasy', 'comedy']",1,6.0,348
Paramount,ts42180,2016,22,"['drama', 'scifi', 'family', 'fantasy', 'comedy']",1,5.7,291
Paramount,ts43181,2015,22,"['comedy', 'family', 'fantasy', 'scifi', 'animation', 'action']",2,3.4,993
Paramount,ts58377,2015,50,['documentation'],7,0.0,0
Paramount,ts45492,2015,41,['reality'],8,4.8,194
Paramount,ts54024,2016,22,"['family', 'action', 'reality', 'drama']",1,6.6,261
Paramount,ts224405,2016,25,['comedy'],3,0.0,0
Paramount,ts39246,2015,20,['reality'],4,0.0,0
Paramount,ts54154,2016,71,['reality'],1,6.2,72
Paramount,ts143451,2015,23,"['animation', 'action', 'family']",1,7.2,251
Paramount,ts87543,2016,45,['documentation'],4,7.5,95
Paramount,ts77235,2016,22,['comedy'],1,7.0,88
Paramount,ts99533,2016,24,['documentation'],1,7.3,13
Paramount,ts145279,2015,47,"['history', 'documentation']",2,7.7,163
Paramount,ts88391,2016,22,['sport'],3,3.7,124
Paramount,ts41349,2016,20,['comedy'],1,4.7,214
Paramount,ts147018,2015,29,['reality'],2,8.4,85
Paramount,ts70709,2015,44,['documentation'],2,7.8,121
Paramount,ts55469,2016,51,['documentation'],1,7.2,50
Paramount,ts125643,2016,47,"['documentation', 'drama', 'reality']",2,8.0,16
Paramount,ts125638,2015,47,['documentation'],2,8.0,22
Paramount,ts99515,2015,47,"['reality', 'documentation']",3,7.7,34
Paramount,ts42976,2016,21,['comedy'],2,7.9,54
Paramount,ts52896,2015,47,['documentation'],1,7.2,12
Paramount,ts124835,2016,45,['documentation'],1,7.3,8
Paramount,ts80259,2016,48,['documentation'],1,6.7,28
Paramount,ts99527,2016,47,['documentation'],1,7.0,13
Paramount,ts125642,2016,48,['documentation'],1,7.0,8
Paramount,ts99512,2016,48,['documentation'],2,7.2,33
Paramount,ts124282,2016,46,['documentation'],1,7.2,11
Paramount,ts78212,2015,47,['documentation'],3,7.4,38
Paramount,ts76209,2015,43,['documentation'],1,0.0,0
Paramount,ts42240,2016,46,"['documentation', 'sport']",1,8.0,29
Paramount,ts99509,2016,48,['documentation'],1,8.2,21
Paramount,ts137744,2016,50,['documentation'],1,9.0,9
Paramount,ts130940,2016,22,"['history', 'documentation', 'family']",2,7.0,29
Paramount,ts99534,2015,48,['documentation'],1,7.6,22
Paramount,ts269327,2016,48,['documentation'],1,0.0,0
Paramount,ts77073,2015,22,['family'],2,5.7,226
Paramount,ts125641,2016,47,['documentation'],1,6.7,11
Paramount,ts95878,2015,23,"['horror', 'documentation']",1,6.0,26
Paramount,ts83787,2016,50,"['documentation', 'history']",2,7.8,255
Paramount,ts99529,2016,48,['documentation'],1,7.6,23
Paramount,ts90820,2016,48,['documentation'],1,7.4,16
Paramount,ts80545,2016,46,['documentation'],1,7.3,17
Paramount,ts56771,2015,46,['reality'],2,7.1,108
Paramount,ts94865,2016,48,['documentation'],1,7.5,15
Paramount,ts98275,2016,47,['documentation'],1,8.2,19
Paramount,ts99514,2015,28,['documentation'],1,6.7,10
Paramount,ts99518,2015,46,['documentation'],1,7.9,18
Paramount,ts90036,2016,46,['documentation'],1,7.8,25
Paramount,ts9838,2016,35,['documentation'],7,7.1,36
Paramount,ts125646,2015,23,[],1,6.9,26
Paramount,ts77100,2015,45,"['documentation', 'reality']",2,7.9,40
Paramount,ts99508,2016,47,['documentation'],1,8.0,8
Paramount,ts117125,2016,48,['documentation'],3,8.0,20
Paramount,ts58452,2016,46,['documentation'],1,7.6,36
Paramount,ts85241,2015,45,['documentation'],1,7.1,9
Paramount,ts99535,2016,48,['documentation'],1,7.8,15
Paramount,ts99531,2016,46,['documentation'],1,8.0,11
Paramount,ts125206,2016,58,['documentation'],1,7.3,15
Paramount,ts97912,2016,21,"['documentation', 'comedy']",1,0.0,0
Paramount,ts99510,2016,48,['documentation'],1,7.6,10
Paramount,ts142624,2015,46,"['reality', 'documentation']",1,8.0,14
Paramount,ts99519,2015,23,['documentation'],1,8.1,13
Paramount,ts285775,2016,46,[],1,0.0,0
Paramount,ts130625,2015,26,"['drama', 'reality']",5,8.2,16
Paramount,ts99513,2015,25,[],1,0.0,0
Paramount,ts125631,2015,23,[],3,9.0,7
Paramount,ts129306,2016,48,['documentation'],1,7.2,19
Paramount,ts57131,2017,19,['comedy'],6,7.6,67629
Paramount,ts304703,2017,41,"['action', 'drama', 'thriller', 'crime']",6,7.1,25450
Paramount,ts82308,2018,42,"['drama', 'thriller', 'action', 'crime']",6,7.0,19299
Paramount,ts41351,2017,51,"['scifi', 'action', 'drama']",5,7.0,125508
Paramount,ts54025,2017,21,['comedy'],2,8.0,2847
Paramount,ts75815,2018,48,"['drama', 'crime', 'history', 'thriller']",1,7.9,21620
Paramount,ts82704,2018,21,"['comedy', 'drama', 'documentation', 'music', 'reality']",5,6.6,8314
Paramount,ts296864,2017,50,"['drama', 'crime']",6,8.3,29609
Paramount,ts57189,2017,43,"['action', 'war', 'drama']",6,7.8,28186
Paramount,ts80150,2018,41,['reality'],6,6.6,2016
Paramount,ts77030,2017,41,['reality'],5,5.2,921
Paramount,ts67787,2017,41,['reality'],5,4.8,807
Paramount,ts82584,2018,17,"['scifi', 'action', 'animation', 'family', 'comedy', 'drama', 'fantasy']",2,5.5,5376
Paramount,ts82291,2018,27,['comedy'],1,8.3,18545
Paramount,ts77617,2018,21,['comedy'],3,7.7,3692
Paramount,ts78547,2018,53,"['reality', 'family']",3,5.6,855
Paramount,ts75410,2018,54,"['thriller', 'drama']",1,6.6,791
Paramount,ts55653,2017,45,"['scifi', 'thriller', 'drama']",2,6.9,23150
Paramount,ts84328,2018,24,"['scifi', 'fantasy', 'drama', 'family']",2,6.8,2625
Paramount,ts78113,2018,50,"['scifi', 'drama', 'history']",3,6.9,2341
Paramount,ts83296,2018,49,"['drama', 'thriller']",2,7.1,9509
Paramount,ts55081,2017,44,"['drama', 'history', 'music']",1,7.5,995
Paramount,ts58306,2018,42,"['drama', 'thriller', 'crime']",2,6.7,8205
Paramount,ts56201,2017,11,"['comedy', 'action', 'animation', 'family', 'fantasy', 'scifi']",2,3.4,750
Paramount,ts79200,2018,43,['documentation'],1,5.5,495
Paramount,ts58271,2017,48,"['documentation', 'history']",3,8.3,426
Paramount,ts75383,2017,24,"['scifi', 'comedy', 'drama']",2,6.0,961
Paramount,ts82419,2017,20,['drama'],2,7.8,671
Paramount,ts79672,2018,41,['reality'],3,4.5,155
Paramount,ts82975,2018,40,"['crime', 'documentation', 'drama']",2,7.1,71
Paramount,ts57489,2017,21,['comedy'],3,7.4,2333
Paramount,ts82780,2018,41,"['documentation', 'crime']",1,7.0,87
Paramount,ts90869,2018,18,"['drama', 'romance']",1,6.1,173
Paramount,ts79050,2018,41,"['reality', 'romance']",1,3.9,55
Paramount,ts53747,2017,21,['comedy'],2,6.5,3322
Paramount,ts80563,2018,42,"['reality', 'romance', 'european']",6,5.0,568
Paramount,ts76061,2017,41,['reality'],2,5.5,418
Paramount,ts56383,2017,22,"['comedy', 'action', 'family', 'horror', 'drama', 'crime', 'thriller']",4,6.8,701
Paramount,ts56328,2017,22,['comedy'],2,6.4,1513
Paramount,ts90596,2018,14,"['animation', 'comedy', 'family', 'fantasy']",4,6.1,142
Paramount,ts79775,2018,45,"['documentation', 'history']",1,6.8,61
Paramount,ts86945,2018,16,"['family', 'fantasy', 'animation', 'comedy']",3,5.7,199
Paramount,ts75187,2017,43,"['documentation', 'war']",3,6.9,54
Paramount,ts74982,2017,43,"['drama', 'documentation', 'history']",1,7.6,69
Paramount,ts82398,2018,25,"['drama', 'scifi', 'comedy']",1,7.4,573
Paramount,ts76985,2017,51,"['documentation', 'drama', 'history', 'music', 'reality', 'comedy']",1,8.6,9
Paramount,ts77075,2018,22,"['comedy', 'family', 'fantasy']",2,5.4,641
Paramount,ts82523,2018,40,['reality'],1,3.9,45
Paramount,ts53912,2017,21,"['animation', 'comedy', 'scifi']",1,8.0,1772
Paramount,ts74860,2017,48,"['drama', 'thriller']",1,7.0,1563
Paramount,ts53812,2017,42,"['documentation', 'crime']",1,4.6,213
Paramount,ts85257,2018,44,['documentation'],1,7.8,31
Paramount,ts57114,2017,44,"['documentation', 'history']",1,0.0,0
Paramount,ts82063,2018,22,[],2,5.9,134
Paramount,ts53894,2017,77,"['drama', 'music']",1,8.9,2894
Paramount,ts77678,2018,42,"['reality', 'family']",5,0.0,0
Paramount,ts55146,2017,20,"['animation', 'family', 'fantasy', 'european']",2,4.9,175
Paramount,ts272800,2018,57,"['comedy', 'drama', 'romance']",1,6.9,171
Paramount,ts54027,2017,10,"['animation', 'european']",2,7.3,54
Paramount,ts118095,2018,14,"['comedy', 'family', 'fantasy', 'animation']",2,8.1,50
Paramount,ts58591,2017,22,"['animation', 'comedy', 'family', 'fantasy']",2,7.1,497
Paramount,ts55626,2017,20,"['animation', 'comedy', 'family', 'fantasy']",1,4.1,741
Paramount,ts104831,2018,43,['documentation'],5,8.5,97
Paramount,ts89984,2018,44,"['documentation', 'history', 'drama', 'reality']",3,8.2,209
Paramount,ts121292,2017,22,"['family', 'animation', 'comedy']",4,7.0,105
Paramount,ts95569,2018,21,"['animation', 'family', 'fantasy']",3,4.1,214
Paramount,ts78182,2018,21,"['animation', 'action', 'comedy', 'family', 'scifi']",1,2.4,1021
Paramount,ts107506,2018,48,['documentation'],2,9.3,167
Paramount,ts53605,2017,51,['documentation'],1,7.4,66
Paramount,ts91111,2018,51,"['war', 'history']",1,8.5,178
Paramount,ts81086,2018,51,['documentation'],1,8.8,105
Paramount,ts80851,2017,47,['documentation'],3,8.6,99
Paramount,ts80029,2018,48,['documentation'],1,7.3,27
Paramount,ts117128,2017,48,"['history', 'documentation']",1,8.2,41
Paramount,ts75619,2017,20,['comedy'],3,6.4,35
Paramount,ts109900,2018,49,['documentation'],2,8.8,48
Paramount,ts117535,2017,44,[],1,8.1,18
Paramount,ts88331,2017,43,"['documentation', 'history']",1,7.6,350
Paramount,ts232755,2018,44,['documentation'],1,8.5,15
Paramount,ts90942,2018,51,['documentation'],1,7.2,38
Paramount,ts81332,2017,46,"['drama', 'documentation']",2,6.8,24
Paramount,ts58087,2017,21,['comedy'],1,6.2,156
Paramount,ts80543,2018,48,['documentation'],2,8.1,16
Paramount,ts77252,2017,20,"['reality', 'comedy']",1,5.6,98
Paramount,ts349607,2017,51,['documentation'],1,8.2,61
Paramount,ts121350,2017,49,['documentation'],1,7.9,58
Paramount,ts55804,2017,21,['comedy'],1,6.2,56
Paramount,ts80881,2017,46,['documentation'],1,0.0,0
Paramount,ts91982,2017,48,['documentation'],1,8.3,16
Paramount,ts117137,2017,45,['documentation'],1,7.0,13
Paramount,ts280452,2018,46,['documentation'],1,7.2,8
Paramount,ts326817,2018,43,"['drama', 'documentation']",1,0.0,0
Paramount,ts119710,2017,41,['reality'],2,5.9,41
Paramount,ts117478,2017,48,['documentation'],1,7.5,24
Paramount,ts92298,2018,3,['comedy'],1,0.0,0
Paramount,ts110089,2018,51,"['reality', 'documentation']",1,7.7,27
Paramount,ts91074,2017,43,"['documentation', 'history']",1,7.0,72
Paramount,ts109804,2018,21,['comedy'],3,7.4,90
Paramount,ts256120,2017,48,['documentation'],1,6.9,12
Paramount,ts291963,2018,1,['family'],1,0.0,0
Paramount,ts227772,2017,22,['music'],1,0.0,0
Paramount,ts118311,2017,3,['comedy'],2,8.7,14
Paramount,ts244147,2018,44,['documentation'],1,8.2,5
Paramount,ts111175,2018,2,['comedy'],1,0.0,0
Paramount,ts87480,2020,48,"['scifi', 'action', 'drama']",3,7.3,76562
Paramount,ts88950,2019,49,"['drama', 'comedy', 'crime']",2,8.3,25591
Paramount,ts282215,2020,42,"['drama', 'action', 'crime', 'thriller']",4,6.9,8934
Paramount,ts88376,2019,46,"['drama', 'crime', 'horror', 'thriller']",3,7.7,28349
Paramount,ts186931,2019,20,"['romance', 'comedy']",5,6.9,4596
Paramount,ts87479,2020,26,"['scifi', 'comedy', 'animation', 'action']",3,7.5,19424
Paramount,ts87912,2020,57,"['scifi', 'drama', 'horror', 'thriller', 'fantasy']",1,5.6,27507
Paramount,ts89628,2019,46,['action'],2,6.7,6255
Paramount,ts216539,2019,49,['reality'],4,4.9,1186
Paramount,ts252505,2019,44,"['thriller', 'family', 'drama', 'fantasy', 'horror']",3,7.1,2528
Paramount,ts225512,2020,24,"['comedy', 'family', 'scifi', 'action']",2,3.6,1661
Paramount,ts66250,2019,41,['reality'],2,5.5,674
Paramount,ts93336,2019,22,"['animation', 'comedy', 'family']",5,6.9,712
Paramount,ts269710,2020,21,"['comedy', 'reality']",3,4.2,221
Paramount,ts91095,2019,21,"['comedy', 'romance', 'drama', 'family']",2,7.2,4389
Paramount,ts37656,2019,43,"['history', 'sport', 'documentation', 'music']",3,6.7,13
Paramount,ts109806,2019,21,['comedy'],1,7.9,582
Paramount,ts89456,2019,21,"['documentation', 'comedy']",1,7.2,267
Paramount,ts90136,2019,43,['reality'],3,6.1,396
Paramount,ts262778,2020,21,"['action', 'family', 'fantasy', 'animation']",2,6.8,153
Paramount,ts179157,2020,45,['reality'],4,6.4,29
Paramount,ts87153,2019,38,['reality'],1,4.1,526
Paramount,ts90450,2020,40,"['drama', 'comedy', 'war']",1,5.7,2057
Paramount,ts215985,2019,21,['comedy'],1,7.4,294
Paramount,ts271247,2019,14,"['animation', 'action', 'family', 'comedy']",4,6.7,228
Paramount,ts306086,2019,22,"['comedy', 'family', 'music']",1,5.7,236
Paramount,ts89979,2019,41,['documentation'],1,7.1,152
Paramount,ts223862,2020,42,"['documentation', 'crime', 'reality']",2,6.7,105
Paramount,ts255450,2020,43,"['crime', 'documentation']",1,6.7,149
Paramount,ts91117,2019,48,['documentation'],2,8.2,82
Paramount,ts89861,2019,49,"['documentation', 'fantasy', 'history']",2,7.3,90
Paramount,ts190082,2019,40,['reality'],1,4.7,73
Paramount,ts257396,2020,34,"['sport', 'documentation']",2,7.4,223
Paramount,ts221174,2019,12,"['animation', 'family']",2,6.4,102
Paramount,ts279044,2020,43,['documentation'],1,8.6,14
Paramount,ts223523,2019,14,"['action', 'scifi', 'family', 'fantasy', 'animation', 'comedy']",2,8.5,451
Paramount,ts105548,2019,20,"['family', 'drama', 'comedy', 'action', 'thriller', 'animation', 'fantasy']",3,5.7,1438
Paramount,ts224408,2020,18,"['animation', 'comedy', 'family', 'action', 'thriller']",2,6.5,434
Paramount,ts87666,2019,43,['drama'],1,6.2,2071
Paramount,ts225450,2020,22,"['action', 'comedy', 'family']",3,3.0,501
