id,release_year,runtime,genres,seasons,imdb_score,imdb_votes
ts17893,1992,8,"['comedy', 'family', 'fantasy', 'animation']",6,5.5,2946
ts39642,1994,92,"['war', 'drama', 'history']",1,6.6,547
ts67359,1995,89,['drama'],1,0.0,0
ts71025,1994,48,"['comedy', 'drama']",2,8.2,104
ts27730,1996,27,['family'],1,8.2,261
ts31733,1999,25,"['drama', 'animation', 'comedy', 'action', 'romance']",1,8.4,3804
ts44314,1998,10,"['animation', 'comedy']",2,7.9,365
ts39831,1991,24,"['animation', 'family', 'fantasy']",6,7.0,1746
ts5076,2000,47,"['action', 'family']",1,6.6,241
ts28352,2000,20,"['animation', 'comedy', 'family']",2,6.6,501
ts9008,1998,50,['drama'],2,7.0,156
ts27243,1996,25,"['animation', 'family', 'comedy']",4,7.1,470
ts31384,1997,33,['reality'],12,7.5,163
ts30640,1993,26,"['comedy', 'family', 'sport', 'animation']",5,6.9,190
ts36219,1997,22,"['documentation', 'family']",1,6.7,16
ts208323,1992,53,['documentation'],1,8.4,148
ts1470,2000,24,['documentation'],5,8.0,87
ts20552,2009,28,"['comedy', 'drama']",3,8.2,33536
ts22280,2004,44,['drama'],8,8.7,472899
ts21182,2006,44,"['drama', 'comedy', 'crime']",8,8.4,99923
ts11,2010,58,"['drama', 'romance', 'history', 'european']",6,8.7,210934
ts6457,2007,43,"['comedy', 'drama', 'action']",5,8.2,134647
ts20604,2006,43,"['drama', 'sport']",5,8.7,68182
ts20307,2002,43,"['crime', 'drama', 'comedy']",8,8.0,77443
ts11313,2006,24,"['animation', 'drama', 'fantasy', 'thriller', 'crime']",1,9.0,334730
ts22455,2004,44,"['action', 'drama', 'scifi']",5,8.1,68289
ts10891,2006,46,"['scifi', 'drama', 'comedy', 'romance']",5,7.9,55214
ts22295,2007,23,"['comedy', 'drama', 'romance', 'thriller']",7,9.2,6
ts20305,2002,23,"['action', 'scifi', 'comedy', 'animation', 'fantasy', 'thriller']",6,8.4,107461
ts35960,2004,23,"['animation', 'action', 'comedy', 'drama', 'romance']",1,6.8,1281
ts22265,2004,6,"['family', 'animation', 'comedy']",7,6.3,5556
