,id,release_year,runtime,genres,seasons,imdb_score,imdb_votes
1579,ts21553,2010,24,"['action', 'comedy', 'family', 'fantasy', 'scifi', 'animation']",2.0,2.9,2016.0
1603,ts43365,2007,27,"['documentation', 'history']",2.0,8.1,30.0
1607,ts18817,2008,22,['reality'],2.0,5.1,1276.0
1611,ts26018,2005,25,"['comedy', 'family']",7.0,8.7,799.0
1643,ts5398,2010,22,['comedy'],1.0,7.1,148.0
1644,ts75111,2007,27,[],1.0,,
1649,ts24179,2009,30,['reality'],1.0,6.7,65.0
1652,ts163926,2010,27,[],1.0,,
1653,ts30525,2010,44,"['documentation', 'history']",1.0,7.7,285.0
1668,ts163934,2009,54,['reality'],1.0,,
1669,ts192131,2007,47,['reality'],1.0,,
1672,ts177919,2010,22,['comedy'],1.0,7.0,15.0
1675,ts20518,2011,42,"['scifi', 'drama', 'action', 'fantasy', 'romance', 'thriller', 'comedy']",6.0,7.7,153629.0
1676,ts20672,2011,22,['comedy'],7.0,8.1,53384.0
1678,ts20436,2012,22,"['comedy', 'action']",5.0,8.3,23166.0
1680,ts17961,2011,41,['reality'],9.0,7.5,3546.0
1681,ts3522,2011,45,"['documentation', 'drama', 'history', 'reality', 'crime']",23.0,8.8,4585.0
1682,ts20457,2012,23,"['scifi', 'action', 'drama', 'animation', 'comedy', 'family', 'fantasy']",4.0,8.4,124910.0
1684,ts21095,2012,24,"['action', 'scifi', 'horror', 'comedy', 'family', 'fantasy', 'thriller', 'animation', 'crime', 'drama']",5.0,7.9,11964.0
1688,ts4065,2011,22,"['comedy', 'drama', 'romance']",5.0,7.5,44911.0
1689,ts42135,2012,58,['reality'],7.0,,
1692,ts20556,2011,41,"['reality', 'romance', 'documentation', 'comedy']",11.0,4.9,28.0
1695,ts34949,2011,24,"['scifi', 'family', 'fantasy', 'romance', 'horror', 'thriller', 'drama', 'comedy', 'european']",3.0,7.3,5082.0
1696,ts21144,2011,21,"['comedy', 'reality']",30.0,6.3,7262.0
1697,ts20608,2011,42,['reality'],10.0,4.4,213.0
1700,ts19623,2011,24,"['animation', 'family', 'comedy', 'fantasy', 'music']",6.0,6.3,1714.0
1702,ts28059,2012,41,"['reality', 'family']",11.0,5.6,875.0
1706,ts21308,2011,42,"['reality', 'comedy', 'crime']",6.0,7.7,35.0
1707,ts21225,2011,42,"['reality', 'documentation', 'comedy', 'drama', 'romance', 'european']",23.0,6.0,8.0
1710,ts20589,2011,24,"['action', 'comedy', 'scifi', 'animation', 'family', 'drama', 'fantasy']",3.0,8.7,33.0
1715,ts945,2011,42,['reality'],6.0,4.0,340.0
1718,ts34965,2011,21,['comedy'],2.0,5.0,515.0
1720,ts35000,2011,21,"['comedy', 'romance']",3.0,6.8,3157.0
1721,ts15606,2011,21,['comedy'],4.0,6.7,5596.0
1722,ts26599,2012,32,['reality'],4.0,4.7,13.0
1728,ts22199,2012,21,['comedy'],5.0,6.0,830.0
1730,ts35075,2011,21,"['documentation', 'reality']",6.0,6.5,331.0
1734,ts36179,2012,20,"['scifi', 'action', 'comedy', 'family', 'animation']",1.0,5.8,2038.0
1735,ts27284,2012,25,"['comedy', 'family']",1.0,5.4,1532.0
1736,ts21187,2011,43,"['drama', 'comedy', 'romance']",4.0,6.1,2124.0
1737,ts37308,2012,21,['comedy'],5.0,7.1,105.0
1738,ts13652,2012,47,"['reality', 'history', 'documentation', 'crime']",2.0,7.7,168.0
1740,ts41259,2012,21,['reality'],5.0,7.2,595.0
1758,ts17767,2012,22,['comedy'],2.0,7.7,687.0
1768,ts33983,2011,21,['comedy'],5.0,7.2,547.0
1774,ts171570,2011,27,['documentation'],1.0,,
1775,ts170272,2012,20,['comedy'],1.0,4.2,19.0
1780,ts242067,2012,51,['documentation'],1.0,,
1783,ts20845,2013,43,"['drama', 'scifi', 'thriller']",3.0,6.5,107988.0
1784,ts20106,2013,19,"['animation', 'action', 'sport', 'scifi', 'comedy', 'family']",9.0,6.9,26.0
1785,ts37645,2013,25,"['documentation', 'comedy']",4.0,8.9,32715.0
1786,ts20773,2014,42,"['action', 'crime', 'drama', 'thriller']",4.0,7.0,55413.0
1787,ts16045,2014,42,"['reality', 'romance']",9.0,6.6,2690.0
1788,ts16606,2013,21,"['comedy', 'history', 'family']",7.0,7.8,11711.0
1792,ts31957,2013,21,['comedy'],5.0,6.1,13100.0
1793,ts35484,2014,29,"['comedy', 'european']",4.0,8.4,6128.0
1801,ts20261,2014,43,"['war', 'thriller', 'drama']",6.0,7.7,24007.0
1802,ts20325,2013,22,['comedy'],3.0,6.9,5026.0
1803,ts20108,2014,24,"['comedy', 'action', 'scifi', 'drama', 'family']",5.0,5.8,6083.0
1809,ts43901,2014,49,"['reality', 'romance']",10.0,3.2,164.0
1812,ts20880,2014,42,"['action', 'drama', 'crime']",7.0,6.8,19006.0
1813,ts20047,2013,21,['comedy'],5.0,7.7,4337.0
1817,ts32060,2013,24,"['family', 'comedy', 'drama']",1.0,5.6,10400.0
1819,ts38135,2014,22,"['action', 'comedy', 'family', 'scifi', 'animation']",7.0,5.7,948.0
1821,ts37501,2013,19,"['family', 'animation']",3.0,5.7,575.0
1828,ts32218,2013,24,"['comedy', 'scifi', 'action', 'drama', 'family']",4.0,5.7,6034.0
1830,ts5368,2014,42,"['drama', 'romance', 'thriller']",5.0,7.6,4115.0
1831,ts18538,2014,45,"['scifi', 'drama', 'thriller']",2.0,6.5,24398.0
1832,ts521,2013,42,['reality'],10.0,5.0,495.0
1834,ts16262,2014,23,"['scifi', 'comedy', 'drama', 'family', 'fantasy', 'romance']",4.0,4.9,2182.0
1836,ts20883,2014,23,"['comedy', 'family']",4.0,5.2,2909.0
1843,ts20122,2013,41,"['drama', 'romance']",4.0,6.9,2668.0
1845,ts33474,2013,22,"['comedy', 'reality']",2.0,7.6,1468.0
1849,ts37871,2014,49,"['documentation', 'war']",10.0,7.5,137.0
1851,ts35868,2014,42,['reality'],3.0,4.5,722.0
1853,ts20285,2014,41,['reality'],6.0,5.9,524.0
1855,ts20271,2014,41,"['reality', 'drama']",6.0,5.4,414.0
1857,ts20803,2013,18,"['animation', 'comedy', 'family']",3.0,4.5,3492.0
1866,ts22416,2013,41,['reality'],1.0,3.6,464.0
1869,ts75954,2014,8,"['animation', 'comedy', 'family', 'european']",4.0,8.9,1207.0
1880,ts38140,2014,25,"['family', 'animation']",3.0,3.6,329.0
1881,ts35982,2014,21,['comedy'],3.0,7.4,521.0
1882,ts22427,2013,18,"['animation', 'family', 'scifi', 'action', 'comedy']",1.0,5.7,1315.0
1883,ts33590,2013,24,"['comedy', 'fantasy', 'family']",2.0,5.1,2664.0
1887,ts4268,2014,20,"['scifi', 'animation', 'comedy', 'action', 'family']",2.0,2.6,3650.0
1889,ts20084,2014,21,"['animation', 'comedy']",2.0,6.5,1425.0
1894,ts32115,2013,21,"['comedy', 'reality', 'drama']",4.0,7.4,1252.0
1897,ts75173,2014,24,"['fantasy', 'animation', 'family']",4.0,7.8,835.0
1898,ts37583,2013,21,"['comedy', 'drama', 'family']",3.0,6.5,826.0
1900,ts45603,2013,21,['comedy'],3.0,6.0,267.0
1908,ts71946,2013,45,"['documentation', 'thriller', 'history']",7.0,7.7,37.0
1910,ts4104,2013,23,"['comedy', 'family']",2.0,2.5,379.0
1911,ts136521,2014,45,['documentation'],3.0,7.8,64.0
1925,ts44178,2013,46,['documentation'],1.0,8.3,12.0
1927,ts140162,2013,20,[],2.0,,
1930,ts44106,2014,21,['comedy'],1.0,8.0,165.0
1935,ts78540,2013,52,"['documentation', 'war', 'history']",1.0,6.5,60.0
1944,ts99532,2013,38,['documentation'],2.0,7.5,30.0
1951,ts52207,2014,42,['reality'],1.0,7.9,28.0
1955,ts98077,2014,1,['comedy'],2.0,8.5,325.0
1959,ts157351,2013,48,"['action', 'documentation']",3.0,8.3,10.0
1960,ts70196,2013,41,['reality'],1.0,6.6,88.0
1963,ts45940,2014,39,['reality'],2.0,8.4,87.0
1964,ts83035,2014,24,['documentation'],1.0,7.9,9.0
1968,ts166066,2013,32,['reality'],2.0,9.0,42.0
1969,ts160567,2013,45,['documentation'],1.0,8.2,28.0
1972,ts37212,2015,41,['comedy'],8.0,7.2,14249.0
1975,ts21950,2015,24,"['drama', 'comedy', 'romance']",7.0,7.8,23985.0
1976,ts41876,2016,43,"['drama', 'crime', 'comedy']",6.0,7.1,20694.0
1977,ts53159,2016,18,"['horror', 'comedy', 'fantasy', 'action', 'animation', 'music', 'family', 'thriller', 'drama']",7.0,7.0,7040.0
1979,ts36672,2015,43,"['action', 'scifi', 'comedy', 'crime', 'drama', 'thriller']",1.0,7.6,68796.0
1983,ts35213,2015,22,"['family', 'comedy', 'music']",5.0,7.2,3788.0
1986,ts41580,2016,42,"['action', 'drama']",5.0,5.3,21959.0
1989,ts35549,2015,21,"['comedy', 'history']",3.0,7.3,5126.0
1996,ts38408,2016,43,"['scifi', 'horror', 'thriller', 'comedy', 'drama']",1.0,8.0,11508.0
1997,ts35596,2015,23,"['comedy', 'family', 'sport']",2.0,5.1,2361.0
1998,ts42074,2016,21,['comedy'],4.0,7.1,10043.0
2002,ts42116,2015,23,['drama'],3.0,5.6,306.0
2003,ts134246,2015,18,['comedy'],5.0,6.8,80.0
2006,ts56748,2016,22,"['drama', 'thriller', 'reality']",3.0,7.1,2242.0
2016,ts38702,2016,22,"['comedy', 'music', 'family']",3.0,4.3,2241.0
2017,ts44940,2016,22,"['reality', 'comedy']",3.0,6.9,246.0
