id,release_year,runtime,genres,seasons,imdb_score,imdb_votes,platform
ts9653,2005,31,"['comedy', 'drama']",2,8.0,7364,max
ts16822,2002,19,"['animation', 'action', 'comedy', 'family', 'scifi']",6,7.2,21144,max
ts1936,2003,60,"['drama', 'scifi', 'fantasy', 'romance']",1,8.2,27479,max
ts27405,2008,28,"['scifi', 'action', 'animation', 'drama']",1,8.6,3322,max
ts22473,2010,62,"['drama', 'music']",4,8.3,15188,max
ts22311,2007,49,"['scifi', 'drama', 'fantasy']",1,7.0,4915,max
ts20381,2002,21,"['animation', 'action', 'thriller', 'comedy', 'family']",3,7.3,10301,max
ts22480,2001,19,"['comedy', 'animation', 'horror', 'family', 'fantasy']",7,7.7,24600,max
ts20445,2008,26,['drama'],4,8.3,17668,max
ts10978,2005,23,"['comedy', 'scifi', 'action', 'family', 'animation']",4,7.4,22212,max
ts13511,2008,23,"['action', 'fantasy', 'scifi', 'animation', 'crime', 'family']",3,7.3,9469,max
ts9926,2010,12,['comedy'],4,8.6,6624,max
ts31788,2004,12,"['comedy', 'war', 'scifi', 'drama', 'action', 'animation', 'fantasy', 'thriller']",13,6.7,7337,max
ts30164,2010,72,['documentation'],1,7.6,553,max
ts5042,2004,24,"['scifi', 'animation', 'comedy', 'family', 'fantasy']",6,7.6,23179,max
ts21652,2001,37,"['documentation', 'reality']",4,7.2,914,max
ts21184,2006,10,"['animation', 'comedy', 'scifi']",2,8.2,7456,max
ts34517,2008,12,"['action', 'comedy', 'animation', 'crime', 'fantasy']",4,7.7,7500,max
ts33361,2007,11,"['animation', 'comedy']",2,7.8,4489,max
ts18292,2005,11,"['comedy', 'action', 'fantasy', 'thriller', 'animation']",3,6.5,2331,max
ts25656,2008,20,"['scifi', 'comedy', 'horror', 'animation', 'family', 'fantasy']",3,7.8,14811,max
ts22273,2004,11,"['comedy', 'animation']",2,6.7,3657,max
ts21140,2009,29,"['comedy', 'drama']",3,7.2,22433,max
ts21320,2009,43,"['comedy', 'drama']",2,8.0,4385,max
ts25944,2009,66,"['drama', 'crime', 'comedy', 'family']",1,8.2,3633,max
ts33574,2007,44,"['drama', 'comedy', 'family', 'romance']",1,7.3,4000,max
ts34731,2007,27,"['scifi', 'action', 'drama', 'family', 'fantasy']",5,7.4,6325,max
ts21517,2010,26,['comedy'],3,6.1,10,max
ts13696,2007,18,"['animation', 'comedy', 'family', 'fantasy']",4,6.0,5,max
ts21526,2010,28,"['drama', 'comedy']",2,7.9,15883,max
ts11276,2010,23,"['scifi', 'family', 'animation', 'action']",3,7.7,8992,max
ts17616,2008,61,['drama'],3,8.2,638,max
ts14603,2005,86,"['drama', 'scifi', 'comedy', 'thriller', 'action', 'fantasy']",1,4.5,2847,max
ts10979,2008,23,"['scifi', 'action', 'animation', 'comedy', 'drama', 'family']",3,7.3,11540,max
ts7916,2004,47,"['drama', 'crime', 'horror', 'thriller']",2,7.9,1264,max
ts1136,2008,20,['comedy'],3,7.4,2498,max
ts32276,2005,12,"['comedy', 'animation', 'horror']",1,7.7,1720,max
ts1494,2009,53,['documentation'],1,7.9,112,max
ts46320,2001,43,['sport'],5,5.3,27,max
ts16708,2005,25,[],1,0.0,0,max
ts10152,2008,29,['comedy'],1,6.7,131,max
ts71362,2006,29,"['comedy', 'documentation']",1,5.3,521,max
ts82045,2001,27,"['documentation', 'animation', 'reality']",1,8.9,96,max
ts68187,2009,31,['documentation'],1,6.0,58,max
ts6936,2004,21,['animation'],4,8.6,46,max
ts16942,2006,50,['drama'],2,8.0,144,max
ts2,2011,58,"['scifi', 'drama', 'action', 'romance', 'fantasy']",8,9.2,2134702,max
ts20618,2011,24,"['comedy', 'reality']",10,8.6,41895,max
ts21078,2012,57,['drama'],3,8.6,118056,max
ts20425,2012,29,['comedy'],7,8.4,57898,max
ts21806,2011,21,"['comedy', 'romance']",3,7.8,39021,max
ts19031,2011,42,"['action', 'drama', 'scifi', 'thriller']",5,7.1,90588,max
ts14405,2011,27,"['drama', 'comedy', 'romance']",2,7.6,9440,max
ts9006,2011,10,"['animation', 'scifi', 'comedy', 'family', 'fantasy', 'romance']",6,8.3,34428,max
ts20574,2011,23,"['animation', 'family', 'comedy']",2,7.7,13972,max
ts954,2011,22,"['comedy', 'reality']",6,7.8,2527,max
ts34727,2011,13,"['scifi', 'animation', 'comedy', 'horror', 'music']",12,8.5,973,max
ts26916,2012,34,['documentation'],1,7.2,172,max
ts21041,2012,29,"['drama', 'comedy']",6,7.4,73837,max
ts21324,2011,67,['drama'],1,7.6,22432,max
ts9986,2011,13,"['action', 'comedy']",3,7.4,2074,max
ts20603,2011,10,"['action', 'scifi', 'crime', 'fantasy', 'thriller']",2,7.4,9648,max
ts20391,2012,43,"['drama', 'action', 'crime']",6,7.7,14790,max
ts21101,2012,59,"['drama', 'war', 'history', 'action', 'romance', 'european']",1,7.5,10404,max
ts26754,2012,46,"['documentation', 'crime']",1,7.8,267,max
ts465,2012,24,"['comedy', 'action', 'crime', 'drama', 'animation']",2,8.1,4641,max
ts10822,2012,22,"['action', 'scifi', 'family', 'animation', 'comedy']",8,6.2,5993,max
ts20440,2011,22,"['action', 'scifi', 'animation', 'family']",1,8.0,7104,max
ts28066,2012,12,['comedy'],3,6.9,2450,max
ts20654,2012,53,"['drama', 'sport']",2,7.4,5960,max
ts20680,2011,51,"['action', 'crime', 'drama', 'thriller']",2,7.9,1236,max
ts21805,2011,12,"['comedy', 'horror']",3,6.5,1364,max
ts58273,2012,27,['comedy'],1,7.4,49,max
ts77142,2011,31,"['drama', 'romance', 'comedy']",2,7.8,985,max
ts12221,2011,20,"['animation', 'comedy']",3,7.1,2458,max
ts357994,2012,4,['comedy'],1,7.7,203,max
ts51419,2011,104,['documentation'],1,0.0,0,max
ts35803,2012,30,['documentation'],1,6.5,22,max
