id,release_year,runtime,genres,seasons,imdb_score,imdb_votes,platform
ts21969,2001,22,"['scifi', 'comedy', 'drama', 'family', 'horror', 'animation', 'action']",2,8.4,21790,amazon
ts31938,2004,24,"['thriller', 'action', 'scifi', 'comedy', 'fantasy', 'horror', 'european']",1,8.5,19062,amazon
ts21776,2003,23,"['action', 'animation', 'comedy', 'family', 'fantasy', 'scifi', 'thriller']",5,7.9,34016,amazon
ts31200,2001,108,"['documentation', 'history', 'music', 'european']",1,8.6,2356,amazon
ts15638,2004,26,"['scifi', 'drama', 'romance', 'horror', 'comedy', 'action', 'animation', 'thriller']",2,7.9,34376,amazon
ts15877,2009,72,"['reality', 'sport', 'action', 'animation']",14,8.0,124,amazon
ts285824,2005,53,"['reality', 'documentation']",8,5.3,1836,amazon
ts68641,2005,46,"['documentation', 'reality']",6,7.2,104,amazon
ts26612,2005,29,"['drama', 'comedy', 'family', 'music', 'romance']",3,6.3,1000,amazon
ts31616,2004,47,"['documentation', 'drama', 'horror']",1,7.2,35,amazon
ts75800,2001,12,"['animation', 'comedy', 'family']",3,7.6,691,amazon
ts63639,2002,48,['documentation'],1,0.0,0,amazon
ts21623,2001,47,"['drama', 'comedy', 'european']",4,7.8,3685,amazon
ts30211,2010,30,"['family', 'drama']",1,7.6,325,amazon
ts13620,2001,22,"['comedy', 'romance']",8,6.5,36946,amazon
ts29527,2010,20,"['animation', 'family', 'european']",3,4.5,152,amazon
ts32186,2003,21,"['action', 'family', 'animation', 'comedy', 'fantasy', 'scifi', 'drama', 'thriller']",3,6.2,5003,amazon
ts22301,2007,46,"['scifi', 'drama', 'fantasy', 'crime']",3,7.6,5311,amazon
ts11540,2008,4,['comedy'],1,8.4,8987,amazon
ts30470,2010,22,"['comedy', 'horror']",1,7.3,1562,amazon
ts22318,2004,23,"['scifi', 'action', 'comedy', 'family', 'fantasy', 'animation', 'thriller', 'european']",8,6.2,6700,amazon
ts20867,2002,44,"['drama', 'thriller', 'crime']",3,7.4,2456,amazon
ts8639,2001,47,"['reality', 'thriller', 'action']",7,5.6,6928,amazon
ts7461,2009,44,"['reality', 'romance']",2,3.3,391,amazon
ts25510,2005,47,"['action', 'documentation', 'drama', 'history']",6,8.3,18,amazon
ts30508,2010,51,"['drama', 'thriller']",2,8.3,2506,amazon
ts22224,2001,44,"['drama', 'western', 'romance']",8,7.3,6252,amazon
ts33627,2007,48,"['drama', 'thriller']",1,6.9,1234,amazon
ts30378,2010,45,"['drama', 'comedy', 'history']",3,7.9,1430,amazon
ts82184,2002,1,"['comedy', 'family', 'animation', 'european']",1,7.6,3084,amazon
ts20553,2008,45,"['drama', 'crime', 'history', 'action', 'sport', 'comedy']",6,8.1,5000,amazon
ts33559,2007,7,"['comedy', 'animation', 'family', 'european']",6,8.1,42,amazon
ts21434,2010,55,"['drama', 'comedy']",5,8.5,8159,amazon
ts12699,2010,57,"['drama', 'action', 'thriller', 'scifi']",1,5.7,1427,amazon
ts15414,2010,25,"['comedy', 'drama', 'family', 'music', 'romance']",3,8.0,4847,amazon
ts24346,2009,59,"['documentation', 'history']",1,8.7,673,amazon
ts23575,2009,90,['documentation'],1,0.0,0,amazon
ts16487,2004,56,"['reality', 'documentation']",1,7.4,229,amazon
ts16264,2006,44,['documentation'],3,8.4,982,amazon
ts30266,2010,46,['reality'],1,7.4,32,amazon
ts21688,2009,64,"['comedy', 'drama', 'romance']",1,7.8,12768,amazon
ts26322,2008,30,"['animation', 'romance', 'comedy', 'drama']",2,8.0,16549,amazon
ts23955,2002,22,"['scifi', 'comedy', 'family', 'fantasy']",4,8.0,1405,amazon
ts23944,2002,23,"['scifi', 'animation', 'comedy']",4,6.5,83,amazon
ts35211,2008,45,"['action', 'comedy']",2,8.5,716,amazon
ts21615,2001,22,"['drama', 'action', 'family', 'scifi', 'animation', 'comedy', 'european']",6,7.1,11097,amazon
ts70909,2008,44,['reality'],1,5.1,54,amazon
ts20575,2006,45,"['drama', 'action', 'crime']",2,8.2,2164,amazon
ts18979,2009,44,"['romance', 'reality']",1,4.5,529,amazon
ts35004,2001,56,[],1,0.0,0,amazon
ts52849,2006,13,"['animation', 'comedy', 'family', 'fantasy', 'music', 'european']",5,6.4,1051,amazon
ts23620,2009,45,"['drama', 'crime', 'thriller', 'european']",4,7.8,13673,amazon
ts21533,2010,38,"['reality', 'action', 'european']",29,2.9,15,amazon
ts28522,2006,30,"['scifi', 'comedy']",2,6.7,2289,amazon
ts37799,2006,40,"['reality', 'european']",17,7.4,410,amazon
ts17018,2001,21,"['drama', 'animation', 'comedy', 'family', 'romance']",4,6.4,3399,amazon
ts16284,2008,46,"['drama', 'action', 'crime', 'family', 'documentation', 'comedy']",3,7.1,904,amazon
ts84399,2010,43,['comedy'],2,7.4,288,amazon
ts57359,2008,107,"['drama', 'war', 'european']",1,7.4,284,amazon
ts18257,2006,45,"['reality', 'romance']",3,4.6,2244,amazon
ts1096,2005,23,"['animation', 'scifi', 'romance', 'action', 'comedy', 'drama', 'family', 'fantasy']",2,7.1,548,amazon
ts34311,2007,24,"['action', 'drama', 'horror', 'scifi', 'thriller']",1,7.1,87,amazon
ts45581,2009,22,"['comedy', 'family']",2,5.3,385,amazon
ts20870,2002,44,"['drama', 'action', 'scifi']",2,7.0,4489,amazon
ts26678,2008,36,['drama'],3,8.2,417,amazon
ts21664,2001,20,['comedy'],5,7.1,2401,amazon
ts12965,2001,22,"['comedy', 'drama', 'family']",5,7.1,8072,amazon
ts22051,2007,51,"['drama', 'romance', 'comedy']",6,6.8,27198,amazon
ts23273,2002,58,"['drama', 'crime']",3,7.6,786,amazon
ts30466,2010,25,['reality'],2,4.4,35,amazon
ts20593,2006,24,"['comedy', 'action', 'romance', 'animation']",2,8.1,2236,amazon
ts21706,2006,25,"['drama', 'scifi', 'family', 'fantasy']",3,7.2,16221,amazon
ts6825,2010,26,"['drama', 'romance']",5,7.2,2520,amazon
ts21742,2003,24,"['animation', 'music', 'family', 'comedy']",2,5.1,420,amazon
ts30320,2010,46,['reality'],1,3.9,41,amazon
ts21210,2009,22,"['comedy', 'animation']",2,4.3,1102,amazon
ts27459,2008,45,"['action', 'drama']",1,7.0,1422,amazon
ts45318,2009,52,"['crime', 'european']",2,6.6,204,amazon
ts32321,2007,52,"['drama', 'crime']",2,6.8,378,amazon
ts20535,2009,18,"['animation', 'comedy', 'family', 'european']",5,5.4,2791,amazon
ts1401,2003,11,"['animation', 'comedy']",1,7.6,843,amazon
ts26320,2008,41,['reality'],3,6.3,84,amazon
ts21196,2006,23,"['scifi', 'family', 'horror', 'animation', 'comedy']",2,7.7,1208,amazon
ts55642,2010,47,"['documentation', 'history', 'european']",1,7.6,340,amazon
ts21994,2007,29,"['action', 'romance', 'horror', 'scifi', 'thriller', 'comedy', 'crime', 'family']",7,6.2,1273,amazon
ts24531,2002,24,"['drama', 'comedy', 'romance', 'animation', 'family', 'fantasy']",2,8.1,1073,amazon
ts8805,2009,21,"['animation', 'family']",7,6.5,1350,amazon
ts30401,2010,21,['reality'],1,5.5,26,amazon
ts19187,2008,9,"['animation', 'comedy', 'family']",4,8.2,64,amazon
ts43866,2009,53,"['documentation', 'crime', 'comedy', 'drama', 'horror']",1,7.4,28,amazon
ts28500,2006,13,"['comedy', 'animation', 'scifi', 'romance', 'action', 'family']",5,6.7,4566,amazon
ts1763,2010,59,"['reality', 'documentation']",1,8.8,521,amazon
ts35948,2003,39,"['reality', 'documentation', 'european']",22,8.2,3316,amazon
ts4091,2002,25,"['comedy', 'family', 'scifi', 'animation']",12,6.9,2696,amazon
ts21183,2008,27,"['animation', 'family', 'comedy']",4,5.4,731,amazon
ts22233,2010,25,"['comedy', 'family']",3,8.0,88,amazon
ts6618,2009,27,['comedy'],4,4.8,49,amazon
ts21445,2005,26,"['comedy', 'family', 'scifi', 'animation']",2,4.8,210,amazon
ts26428,2008,24,"['scifi', 'action', 'fantasy', 'animation']",5,6.9,1785,amazon
ts31759,2001,25,['family'],3,6.1,1074,amazon
ts12930,2009,22,"['animation', 'family', 'fantasy', 'thriller', 'action']",5,6.4,1963,amazon
ts52141,2010,46,['reality'],1,7.6,21,amazon
